SKU;ID Tiny;Estoque
8.03.76.04.01;811360487;0
8.03.76.06.01;811360824;0
8.03.84.01.01;811358631;0
8.04.01.12.108;811364392;1
8.04.03.10.10;811363616;2
8.04.03.11.00;811365849;0
8.04.03.14.07;811365697;0
8.04.03.20.18;811365002;0
8.04.03.22.07;811364205;2
8.04.03.25.18;811365440;0
8.04.04.04.10;811365226;0
8.04.04.05.07;811365043;0
8.04.04.06.18;811365110;0
8.04.04.16.07;811364571;0
8.04.23.04.27;811365969;0
8.04.23.10.07;811365497;0
8.04.23.12.10;811363836;0
8.04.53.18.01;811927679;0
8.04.74.04.10;811848888;0
8.04.77.02.10;811372779;0
8.05.01.18.27;809545020;0
8.05.01.19.17;809545057;0
8.05.02.05.80;811380695;0
8.05.02.10.10;811381061;0
8.05.03.01.07;909752859;0
8.05.03.02.18;909752871;0
8.05.03.15.07;809544394;0
8.05.03.17.07;809544211;0
8.05.04.02.07;809544905;0
8.05.23.01.11;811848296;0
8.05.33.02.07;809544681;0
8.05.61.03.89;811382537;0
8.05.61.07.18;811381430;0
